status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review,airline_name,NPS_score
Not Verified ,,Solo Leisure,Economy Class,Montreal to Dublin via Toronto ,2024-08-01,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  My original flight from Montreal was brought forward by an hour, when i arrived in Toronto my flight was delayed by 2 hours, Air Canada then announced they had overbooked the flight & tried to buy peoples tickets then delayed my flight to Dublin again by another 2 hours. Air Canada is hands down the worst!",air-canada,Detractor
✅ Trip Verified ,Boeing 737,Couple Leisure,Business Class,Toronto to San Francisco,2024-08-01,1.0,1.0,,,,1.0,1,no,1, Another cancelled flight from Air Canada because of a maintenance issue. This is 4 in a row. Flying from Vancouver to Toronto plane has to turn around because of a maintenance issue. Flying from Chicago to Toronto 6 hour delay because of a maintenance issue. Flying from Paris to Toronto and flight cancelled due to maintenance issue. Had to rebook with Air France. Today - flying from Toronto to SFO - flight cancelled and changed to next day because of a maintenance issue. Missing the event we had tickets to.,air-canada,Detractor
✅ Trip Verified ,,Solo Leisure,Economy Class,Toronto to Vancouver,2024-08-01,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"   Delay a flight 6 times before announcing a cancel, with customer service having no idea of the status of the pilots coming in. Making baggage claim so late (by not sending a team to a flight that had been delayed then cancelled over ten hours) that it was impossible to book a hotel. Vaguely saying ""we'll give you a voucher"" and bailing on you. No real updates. Why not cancel the flight earlier, or release our baggage? Was it worth the slim shot at saving the $600 for passenger comp? Sending baggage onwards without checking in or asking. I waited 4 hours to make sure my baggage is secure, only to have it shipped in front of me ruining the whole point. In two separate points. One agent telling me that they don't care in domestic about bags, so keep it tight with you (why I stayed an extra 4 hours or so) - just to have Air Canada say YOLO and ship it onwards. Not even having the presence of mind to hand out food, food vouchers, anything after passengers were placed in a hot plane, deplaned, and made to stand for 10 hours+. This could have been the easiest token. Having super long lines at every step of the process and being understaffed. For example, the baggage claim line had three people at the counter, and one person checking or doing something while dozens of passengers were waiting in line. Full hands on deck? Not the case with Air Canada, by understaffing. I generally blame management for putting staff and passengers in this situation - that said, some staff members were supremely unhelpful in a way that boggles the mind. Why even make gate announcements if you work for the company and literally have no better idea than any of us what is going on? Is checking who is ""priority"" really the best way you can use your time given a baggage line that runs hours on average? Is it impossible to anticipate a situation like this and having agents be reachable in some way? Not a great time to have only 2-3 people operate a counter when the line is like 800 deep? One thing that stood out is that this seemed uniquely bad for Air Canada. This is very surprising, because airlines like Flair and Westjet have much worse reputations. But from what I could observe, all Air Canada flights were affected.",air-canada,Detractor
✅ Trip Verified ,,Solo Leisure,Economy Class,Dallas to Vancouver via Toronto,2024-08-01,1.0,1.0,,,,1.0,1,no,1,"   This is the worst airline in the world. Never on time, service is awful, and my plane was delayed 5 times. ",air-canada,Detractor
Not Verified ,,Family Leisure,Economy Class,Seattle to Vancouver ,2024-07-01,3.0,4.0,3.0,5.0,4.0,2.0,3,no,6,"   Airline is strict with carryon limit, size (even if 1 inch off), so be aware. They demanded I check in bag (w/$35 fee) and made a scene of it (while we were completely silent. Then, checked our bag into someone else's itinerary, delaying arrival of baggage for 1.5 days. Finally refunded the $35 fee but am still waiting for incidentals costs (which I'm not expecting to get - simple night wear, toothbrush, etc.). Then, to top it off, they lost our luggage again for 1 day on our return trip (home). No incidentals incurred this time, but we got our $35 luggage fee back on that one too but within reasonable time. Both of those fees should be refunded immediately without the extra work of filing out forms online, then waiting before receiving. That was our first trip with Air Canada. On the plus side, entertainment and flight crew were excellent (beyond other airline experiences). It took awhile to get our drinks, but I believe that was due to turbulence.",air-canada,Neutral
Not Verified ,,Couple Leisure,Economy Class,Boston to Montreal,2024-08-01,5.0,5.0,5.0,5.0,5.0,5.0,5,yes,10,   A review to agent Marta at the customer service desk for Air Canada who was so kind to us as we arrived needing help to ensure our delayed flight would not impact our connecting flight. She was thoughtful and took initiative to help us get our bags taken care of and reassure us that it would be okay. This is the kind of service anyone would ask for and really appreciate Marta from Air Canada.,air-canada,Promoter
✅ Trip Verified ,,Solo Leisure,Economy Class,Orlando to Istanbul via Montreal,2024-08-01,2.0,3.0,2.0,3.0,1.0,1.0,1,no,3," On the way to Istanbul the flight from Orlando was delayed, I couldn’t make my connection. Finally arrived to Istanbul for a major oral surgery. Bags never arrived until 3 days later. No assistance whatsoever with that. On the way back, August 14th, I head to the airport 3 hours before the departure time. At the counter I am told that my name is nowhere to be found, I have all the confirmation numbers needed. I had my father contact Air Canada from the US knowing that I had no other way to communicate with them. They tell me that the flight should be good and there is no problem. I go back to the counter. Same thing I don’t exist. I was told that they can see the Paris to Montreal portion but no Istanbul to Paris. Father on the phone for a very long time with Air Canada. No help. The flight has departed. Stranded in Istanbul Air Canada had the guts to ask me for $1700 to fly back the following day. Absolutely disgusting. Here I am stuck in a foreign country, with only a couple large bills on me. And they are asking me for $1700 and that there is nothing they do about it. After numerous calls I was able to find a family member who purchased a one was ticket for me for $1398. What’s else can I say? I am shocked and disgusted. Totally unacceptable.",air-canada,Detractor
✅ Trip Verified ,Boeing 777,Solo Leisure,Economy Class,Sydney to Newark via Vancouver,2024-08-01,1.0,1.0,1.0,5.0,2.0,3.0,1,no,1," Had more than 15 hours flight, I couldn’t book halal meal in time so requested crew for vegetarian or seafood meals if possible, they bluntly refused and I couldn’t eat anything in entire flight, in the later leg I learned that they even had some vegetarian meals available but didn’t bother to offer anything, 15 hours without food with a very rude and unapologetic crew who even avoid eye contact and are reluctant to come to your seats for hours when you try calling them, it was a nightmare.",air-canada,Detractor
✅ Trip Verified ,A320-200,Business,Business Class,Toronto to Montreal,2024-08-01,,,,,,1.0,1,no,1,"   Service just gets worse. Delays on almost every flight with the odd cancellation thrown in. Planes are old, cabins are tired, food generally poor - breakfast hasn't changed in over a decade. Seems like the goal is to pack the planes and get away with the absolute minimum service standard.  Mostly a different, and better, story pre-covid...",air-canada,Detractor
✅ Trip Verified ,B777-300ER,Solo Leisure,Business Class,Tokyo to Toronto,2024-07-01,5.0,5.0,3.0,5.0,5.0,5.0,5,yes,9," As AC 75k member, I always love the seating and entertainment systems in the long route. It is very consistent layout across all business class (signature class). Some other airlines you need to be careful which exact aircraft you are flying so you get different layout etc. The only thing I hope Air Canada can improve is the food selection. Compared with other asian airlines, the food selection is very limited.",air-canada,Promoter
✅ Trip Verified ,,Business,Economy Class,Vancouver to Winnipeg,2024-08-01,3.0,3.0,,,,1.0,1,no,1,"   When i got to the airport i went to the first counter and the lady wanted to charge me extra money because my bag was 12lbs overweight. I took my leather jacket out and some books i didn't need bag was good now. My luggage went to prince Rupert, two days later i finally got my luggage, unfortunately my work gear was in luggage and I missed one day of work because i needed special gear to be on site. I  emailed air Canada tried to call just kept getting the runaround, its been almost two weeks and i haven't heard from anyone.",air-canada,Detractor
Not Verified ,,Family Leisure,Economy Class,Calgary to Washington DC via Toronto,2024-07-01,3.0,3.0,,,,1.0,1,no,1," AIR CANADA decided on the spot to cancel the connecting flight from Toronto to Washington DC on July 17th 2024 afternoon. When arriving to Toronto from Calgary on July 17th, the connecting flight was on the board saying ""on-time"". About one hour before the scheduled departure, it changed to ""delay 30 min"" and about 20 minutes later changed again to ""flight cancelled"". Checking at the gate what's going on, AIR CANADA person told us there is a weather issue - this why the flight is cancelled. The weather that afternoon in Toronto was perfect! Checking later what was the weather in the destination airport - DCA, shows that at the timeframe we were suppose to arrive to DCA (between 6 pm to 12 pm) about 15 -20 other flights from different airlines arrived and landed safely - so there was no significant major weather blocking this flight from taking place due to weather at the destination either. This was a complete fake excuse made by AIR CANADA, not to operate this flight. Obviously nobody from AIR CANADA gives any explanation or a proof. They just announce it and we - the passengers - can do nothing about it. But - this was only the beginning. Air CANADA didn't offer any solution for this flight passengers, no compensation, no hotel, no meal - not even a glass of water. The option given was to take this flight after 28 hours from the original departure time (just for part of the people - others got nothing). Actually, they kind of ""celebrated"" the event. ""This is a Weather case, so we owe nothing to the passengers, this is our regulations, good luck for you"" Anyway, this was just a one hour flight +/-, so we decided to rent a car and drive the 8 hours distance and took a hotel for a night sleep on the way, since we had hard obligations for the next day in Washington DC. The rudest and most annoying response from Air CANADA after all this, is that they refuse to pay back the extra expenses taken by us to reach our destination, due to this irresponsible and unloyalty behaviour of AIR CANADA. Bottom line - AIR CANADA has cancelled a flight on the spot without any justified reason, without giving a reasonable alternative solution and refuse to pay back any compensation or expense to the passengers.",air-canada,Detractor
Not Verified ,Q400,Couple Leisure,Premium Economy,Castlegar to Montreal via Vancouver,2024-08-01,2.0,2.0,1.0,1.0,1.0,1.0,1,no,1," Atrocious, I have never been more frustrated by an airline. The delays I can understand, but my bags also never making it onto my initial flight (now lost) and now added layovers and over 12 hours in added travel time, I am so sick and tired of this happening every time I seem to travel with Air Canada. Never again, please fly Westjet.",air-canada,Detractor
✅ Trip Verified ,Boeing 737MAX,Business,Economy Class,Vancouver to Calgary,2024-07-01,4.0,5.0,5.0,5.0,,5.0,5,yes,10,"   This was a short flight from Vancouver to Calgary in economy. Everything went well in terms of service, cabin crew friendliness, and cleanliness. I've flown on the MAX several times and it's one of the fleets newer and nicer planes.",air-canada,Promoter
✅ Trip Verified ,Boeing 777,Business,Business Class,Montreal to Calgary,2024-07-01,5.0,5.0,5.0,5.0,,5.0,5,yes,10,"   Excellent service on this flight. This was a return flight to Calgary from Montreal, both ways flown in domestic widebody business class (pods). Typically I've flown in B787 pods, but the 777 pods were just as good. The crew was very attentive, and the food was up to the usual high standards, with multi-course meals and ample beverage/alcohol selection. Looking forward to my next flight!",air-canada,Promoter
✅ Trip Verified ,Boeing 777-300,Business,Business Class,Montreal to Calgary,2024-07-01,5.0,5.0,5.0,5.0,,5.0,4,yes,10,"   Excellent service on this flight. This was a return flight to Calgary from Montreal, both ways flown in domestic widebody business class (pods). Typically I've flown in B787 pods, but the 777 pods were just as good. The crew was very attentive, and the food was up to the usual high standards, with multi-course meals and ample beverage/alcohol selection. Looking forward to my next flight. Remarks on readings: generally if it's at or above expectations I've given full marks. For Value For Money I've given 4 just because business is inherently pricey, so passengers need to decide if they feel that it's worth it. For Wi-Fi and Connectivity I put N/A because I did not use it.",air-canada,Promoter
✅ Trip Verified ,,Solo Leisure,Economy Class,Vancouver to Calgady,2024-07-01,3.0,3.0,,,,1.0,2,no,4,   A very regular occurrence of packing everyone in to the plane with no working air conditioning and sitting on the runway in overheating plane. Happens far too often.,air-canada,Detractor
✅ Trip Verified ,,Family Leisure,Economy Class,Toronto to Detroit,2024-07-01,2.0,1.0,1.0,3.0,,1.0,3,no,3,"  I was highly disappointed with this airline.  When first arriving at the airport the woman checking in our bags were not friendly at all. The food on our 10 hour flight to Greece was horrible, the staff seemed irritated when I asked for a glass of ice and a can of coke (they would have preferred to give me 2 ice cubes and half a can of coke). Upon arriving to our destination I discovered that things were missing from my checked luggage.  Trying to call and make a complaint was a joke. Never was I routed to an actual person to speak with. I would never recommend this airline.",air-canada,Detractor
Not Verified ,A321,Solo Leisure,Economy Class,Toronto to Austin,2024-07-01,3.0,5.0,4.0,3.0,4.0,3.0,4,yes,10,"   I don’t usually write reviews, but I had to share this one experience about a flight attendant. was traveling with my grandma, who’s really scared of flying. Mid-flight, she started to get really anxious and I tried calming her down and one flight attendant I think her name was Angie she had saw and when she noticed she came right over to help. She sat with my grandma for a few minutes and held her hand, and talked to her and me and asked if we had any plans in Austin or if we were visiting other family. After she had continued her duties. She even checked on my grandma during the flight to make sure she had enough water too even though there was many other passengers to attend too as well. It’s nice seeing some flight attendants be very caring and attentive and glad she works for that airline.",air-canada,Promoter
Not Verified ,,Business,Business Class,Seoul to Vancouver ,2024-04-01,3.0,1.0,3.0,5.0,,2.0,4,no,2,"   I fly Air Canada within North America 1-2 times a month and international few times a year. I’ve always found their service mediocre but recently while flying business on an international flight, I spilt coffee on my lap and seat. I went to find someone for some towels. Not only did they give a paper towel, they never came by to check up. I had to go back few times to ask for some more. I don’t expect them to clean up for me nor have incredible service. It felt no different than me spilling a drink at McDonald’s and cleaning it up after myself.",air-canada,Detractor
Not Verified ,,Solo Leisure,Economy Class,Frankfurt to Toronto,2024-07-01,2.0,1.0,3.0,5.0,,3.0,2,no,3,"   I have been a loyal customer of Air Canada for many years, specifically during the 13 years from 2008 when my job required frequent travel. Whenever possible, I chose Air Canada for my journeys. However, I have observed a decline in the quality of service. Regrettably, I have noticed that the attentiveness and politeness of the flight attendants have diminished. In comparison to other airlines I have traveled with, such as Qatar Airways, Lufthansa, KLM, Turkish Airlines, Korean Air, British Airways, and various American carriers, Air Canada's service has not been up to par. My recent experience with Lufthansa was particularly pleasant; the crew treated passengers with genuine smiles and excellent service. In contrast, Air Canada's flight attendants display a demeanor that suggests they view themselves as victims, and this attitude unfortunately affects their interactions with passengers. For instance, during a recent flight, there was turbulence, and the captain announced that hot beverages would not be served due to safety concerns, and the seatbelt sign was illuminated. When the seatbelt sign was later turned off, a flight attendant approached to offer drinks. I mentioned that I would like a coffee but was aware that hot beverages were not being served due to the turbulence. Instead of a polite clarification, the attendant responded with, ""Can't you see the seatbelt light came off?"" Her words were laced with sarcasm, which I found quite unpleasant. As a result of these experiences, I have decided to choose other airlines for my future travels. My wife and I will be traveling to Europe this October, and we have chosen not to fly with Air Canada. I hope this feedback is taken into consideration to improve the service quality and customer experience.",air-canada,Detractor
✅ Trip Verified ,A220-300 (twin jet),Solo Leisure,Economy Class,Houston IAH to Toronto Pearson YYZ ,2024-07-01,4.0,5.0,4.0,5.0,4.0,4.0,4,yes,9," Air Canada turned out to be a good flying experience for the first time because of its comfortable seating, friendly and courteous cabin crew and staff, and impressive in-flight entertainment options, which exceeded expectations and made for a pleasant journey.",air-canada,Promoter
Not Verified ,,Solo Leisure,Economy Class,Calgary to Toronto,2024-06-01,3.0,4.0,,,,5.0,4,yes,9,"   I had an issue with my passport but the staff of Air Canada were very friendly, helpful and very nice, solved my problem and helped me a lot. I am grateful.",air-canada,Promoter
Not Verified ,,Business,Business Class,Vancouver to Montreal,2024-07-01,3.0,4.0,,,,1.0,1,no,3,"   Our flight was canceled, fine. But the service afterwards was awful. From being told one thing by the floor manager. To then having the rudest treated by the customer service representative at the Maple Leaf Lounge. She was rude and obnoxious, talking on the phone about us while serving other customers. We actually did not use the Maple Leaf Lounge due to her treatment. The whole experience has been awful.",air-canada,Detractor
Not Verified ,,Couple Leisure,Premium Economy,Calgary to Newark via Toronto,2024-07-01,1.0,3.0,2.0,1.0,1.0,1.0,1,no,2," I am beyond disappointed with Air Canada. A delayed flight caused us to miss our connection, and to make matters worse, they booked us on a Delta flight, falsely claiming our seats were confirmed. We discovered at 6 am in the airport that they were not, leaving us unable to check in and get home. After numerous calls with unhelpful and discourteous agents, we were finally rebooked on an 11 am flight, arriving home 13 hours late. This was an infuriating and unacceptable experience. Avoid Air Canada at all costs.",air-canada,Detractor
Not Verified ,,Solo Leisure,Economy Class,Washington DC to Barcelona via Montreal,2024-05-01,3.0,2.0,1.0,3.0,1.0,1.0,1,no,1," Terrible terrible airline. Not only was I 8 hours late to my destination, but the Air Canada staff refused to help me. One of them walked away from me while I was speaking to them and their customer service literally hung up on me. I received NO compensation because they lied about the reason for the delay.",air-canada,Detractor
Not Verified ,,Family Leisure,Economy Class,Philadelphia to London,2024-06-01,1.0,2.0,1.0,,,1.0,1,no,1,"   While on a group school trip I was stuck on a plane on the runway at the Philadelphia airport after 45 minutes the pilot announced that the aircraft was running low on fuel and we needed to turn around to refuel then we were informed that the plane had a mechanical issue that couldn’t be fixed and we had to unboard. After a lengthy process we got another plane hours later and finally made it to Canada where we expected to get on a connecting flight to London. This flight however got cancelled and we had to get another one. This was not the end of the nightmares, when we finished packing to come home to the US we discovered our flight home was also cancelled. ",air-canada,Detractor
Not Verified ,A330,Family Leisure,Economy Class,Vancouver to Lisbon via Montreal,2024-07-01,3.0,3.0,2.0,3.0,3.0,2.0,2,no,2," Massive delay at departure lost our connecting flight and then could not find an alternate route to make up the difference. They are understaffed and disorganized, poor communication to their passengers. I dont know why we booked with AC this time, we had avoided them like the plague and ended up losing our car rental and 2 days off our trip to Lisbon. We had to re book with TAP the next day so we could get to portugal Anyways it was a fresh reminder why we dont use AC anymore.",air-canada,Detractor
✅ Trip Verified ,Boeing Max,Couple Leisure,Economy Class,Toronto to Vancouver,2024-06-01,3.0,2.0,1.0,1.0,1.0,3.0,2,no,3,"  We generally have preferred flying with Air Canada in the past but had just flown to and from Europe on Icelandair. We then flew home from Toronto to Vancouver on Air Canada. We were seated in an exit row just behind Premium Economy. By comparison with Icelandair, the cabin felt old, dark and smelled musty. The stewards seemed unorganized, did not say anything to us about the exit row protocol and took up to half hour to respond to the call button. The snacks were dry-as-sawdust pretzels, and the beer was warm. The headphone plugs did not work and the fold-up monitor would not rise up to be seen from my seat. It was only when comparing the flight and service to Icelandair did we realize how poorly Air Canada is performing. Very disappointed and will think twice about flying Air Canada in future.",air-canada,Detractor
✅ Trip Verified ,,Solo Leisure,Economy Class,Fort st. John to Sandspit,2024-06-01,1.0,2.0,1.0,,,1.0,1,no,1,"   I would like to place a complaint for a flight delay of Air Canada YXJ to YVR and YVR to YZP. I had a flight June 28 supposed to be at 10:20am but the flight delayed from Fort St. John to Vancouver so i missed my connecting flight to Sandspit but the airline refused to give me any compensation for all the hassle because according to them it is not their fault, (air traffic) and the earliest fight they give me will be on June 30 and they refused to give hotel accommodation or even meal vouchers. They keep on offering to go to Terrace or Smithers which is way far away to my destination. They did told me to book a hotel and place a complaint for reimbursement but there is no guarantee of reimbursement. So i have no choice but to stay here in the airport the whole day and night to wait for another flight. The 2 supervisors didn’t explain whats going on and instead they just left me and the ground crew to explain everything. Even the manager didn’t care. ",air-canada,Detractor
✅ Trip Verified ,,Solo Leisure,Economy Class,Osaka to Washington via Toronto,2024-06-01,2.0,1.0,2.0,1.0,,1.0,1,no,1,"  My flight on 6/20/2024 from Osaka to Dulles via Toronto, got delayed a few times then cancelled and I got stuck in Toronto for 1 day. I couldn't get hold any customer service by phone or in the airport to give me clear and detailed explanation. They finally rebooked me to different routes back to USA, delayed a few times again, changed gates a few times and final destination to Baltimore instead of VA, so I had to pay extra for uber to VA. In addition, 2 of 5 my checked baggage was lost. They replied to my claim that I am not eligible to receive any compensation because ""This flight was delayed due to unforeseen maintenance that does not include scheduled maintenance or mechanical problems identified during scheduled maintenance."" My first and last time fly with Air Canada.",air-canada,Detractor
✅ Trip Verified ,AC8688,Family Leisure,Economy Class,St. Louis to London via Montreal,2024-05-01,1.0,1.0,1.0,,,1.0,1,no,3,"  Their system crashed May 23, we stood in line for 2 hr and the plane still left us because they couldn’t check our bags. We missed two days of hotel rooms we paid for in London, we paid to go to the airport and charged for extras bags, they took weeks to take the claims and then refused to reimburse our funds to all the things they made us miss. Their staff keeps hanging up the phones. I would never fly air Canada again. Then coming back to America they lost three of our bags..",air-canada,Detractor
✅ Trip Verified ,,Solo Leisure,Economy Class,Whitehorse to Vancouver,2024-05-01,,,,,,,1,no,1,"  Air Canada cancelled my flight with less than 10 hours notice by text saying ""due to weather"". This cancellation caused me to miss all my connecting flights to a trip to Peru which cost me over $3000 to rebook on the day of all my missed flights. Cancellation due to weather was a lie as the communications line to Whitehorse had been severed and therefore, they cancelled the flight because they could not access their systems (can prove this with news stories). This was confirmed by Air Canada Employees at the airport when half of the plane showed up to check in at 3 AM. However, since they had used weather as the cause for cancellation they would not help me cover any of my rebooking costs as they say that they can't control the weather. What's even worse is that they are allowed to change the initial reason for cancelling the flight to something other than weather (like no access to their systems) but because the initial reasoning was weather, they can still avoid responsibility and doing the right thing. Air North was fantastic and was the only reason I was able to make it to Vancouver to rebook my entire trip. This is an awful company that has no compassion, empathy or decent corporate morals.",air-canada,Detractor
Not Verified ,,Family Leisure,Business Class,Cleveland to Edmonton ,2024-05-01,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1," Do NOT fly with Air Canada. They damaged my luggage, had mechanical problems, more than one plane was late, unprofessional flight staff, and gave us the worst flight experience of our lives, and we had business class seats! Food was terrible. I mean TERRIBLE! And they changed our business class seats after we chose them and booked without notice! After all of this, they wouldn't even compensate us with the minimum, a free upgrade to business class on our next flight. Terrible customer service. ",air-canada,Detractor
✅ Trip Verified ,Boeing 787,Solo Leisure,Economy Class,Singapore to Vancouver,2024-05-01,3.0,5.0,5.0,4.0,,4.0,4,yes,10,"  I could not believe how well I was treated on this flight. There was a flight attendant named Tina who went out of her way to make me feel welcome and comfortable. I have had great service in first and business class over the years, but this was the first time a flight attendant treated me so well while I was in economy. It's a long flight from Singapore to Vancouver, and I feel very lucky that Tina was there. I don't know what Air Canada does to reward service above and beyond the call of duty, but I hope that Tina is appreciated.",air-canada,Promoter
